Código,Familia,Materia,Clasificacion,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,La Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
101,QUEBRANTAMIENTO DE SENTENCIA,Quebrantamiento,Detenciones,0,4,1,18,2,15,10,20,3,2,8,22,6,6,1,5
202,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro,Detenciones,1,1,3,3,5,15,20,2,3,0,3,2,0,2,0,0
203,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Sustracción de menores,Detenciones,1,0,0,0,0,0,2,2,0,0,1,5,0,1,0,0
204,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Violación de morada,Detenciones,49,52,103,67,106,306,437,162,114,45,100,96,57,115,39,34
205,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Apertura, registro o interceptación de correspondencia",Detenciones,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Detención, destierro o arresto irregular",Detenciones,0,0,2,0,1,3,4,2,4,2,7,8,4,2,0,0
210,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Allanamientos irregulares,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Usurpación de propiedad, descubrimiento o producción",Detenciones,0,0,0,3,1,6,10,2,0,1,6,2,2,4,1,0
218,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Empleado público que expropie bienes o perturbe posesión de otro,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Delitos contra la vida y la privacidad de las conversaciones,Detenciones,0,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
224,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Torturas por particulares agentes del Estado,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Torturas cometidas por funcionarios públicos,Detenciones,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
229,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Tortura con violación, abuso sexual agravado u otros",Detenciones,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
230,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Tortura con cuasidelito,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Apremios ilegítimos cometidos por empleados públicos,Detenciones,2,0,0,1,1,2,8,0,0,0,2,1,0,0,0,0
233,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,"Apremios ilegítimos con violación, abuso sexual agravado y otros",Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con homicidio,Detenciones,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con violación,Detenciones,0,0,0,0,0,2,1,1,0,0,1,1,1,1,0,0
237,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con lesiones,Detenciones,2,2,2,3,1,10,9,2,1,0,2,1,0,2,1,0
248,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Secuestro con solicitud de rescate o exigencia o se prolongue por más de 24 hrs.,Detenciones,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
299,CRÍMENES Y SIMPLES DELITOS QUE AFECTAN DERECHOS GARANTIDOS POR LA CONSTITUCIÓN,Otros delitos que afectan los derechos garantidos por la Constitución,Detenciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Falsificación de moneda y otros,Detenciones,0,0,1,0,0,1,2,1,0,1,0,2,0,0,0,0
302,"CRÍMENES Y SIMPLES DELITOS CONTRA LA FE PÚBLICA, DE LAS FALSIFICACIONES, DEL FALSO TESTIMONIO Y DEL PERJURIO",Falsificación o uso malicioso de documentos públicos,Detenciones,23,42,63,14,54,200,1034,89,155,106,118,210,18,41,4,6
