Categoria,Año,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O'Higgins,Maule,Ñuble,Biobío,La Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
Denuncias,2014,19069,30055,60304,24192,50971,139476,562035,64071,66365,27018,112430,70314,26271,67038,9212,10845
Denuncias,2015,16198,28876,54042,21324,47570,140966,563633,62449,59954,26392,108094,69195,24191,63836,9108,9162
Denuncias,2016,16130,29984,48140,21717,50680,144278,550429,62964,57528,25152,105113,68058,24268,64605,8731,8590
Denuncias,2017,17335,28807,49018,21158,56776,144878,572794,68381,63615,27354,100531,69667,25372,64529,8526,7667
Denuncias,2018,18633,27420,47216,21441,61464,148668,578986,72127,69200,27822,103152,70984,25664,65424,9042,7092
Denuncias,2019,18288,27255,53680,24519,65618,157433,570272,76428,74782,29786,101553,72353,26895,69530,9203,7283
Denuncias,2020,15220,20625,37679,20130,60771,115757,381951,59332,61225,26473,82948,55669,23179,54579,8082,5632
Denuncias,2021,17276,26001,40273,19735,55190,117633,389347,60647,58890,26906,89114,56707,23018,65018,8459,6686
Denuncias,2022,19382,32440,47646,22696,62319,131501,457724,74948,72340,33525,106304,64197,27614,72728,7469,7445
Denuncias,2023,21179,29264,49109,23271,63240,136129,493207,73814,74323,34909,110595,71890,28953,75797,8096,7245
Detenciones,2014,5973,10851,17764,7134,11333,32503,99165,17412,16150,5495,24043,13469,5652,13631,2005,2941
Detenciones,2015,4861,10658,18121,6460,10203,31604,96603,16212,15163,5380,23814,14024,5389,13561,2035,2910
Detenciones,2016,5164,9644,17171,6407,10248,31068,94030,16119,13828,5120,22324,14090,5397,13105,2170,2863
Detenciones,2017,4802,12493,16595,6228,10680,33019,96535,17072,14392,5462,22217,14794,5506,13770,1828,2777
Detenciones,2018,5441,11144,16369,7011,11825,34696,96566,17715,15079,5300,23787,15162,5891,13301,1834,2605
Detenciones,2019,5305,9415,17220,7260,12042,34791,94921,17894,14910,5972,25060,15368,6371,14903,1795,2845
Detenciones,2020,8095,13585,24573,7632,13517,51201,127079,20943,19537,9533,35925,19334,7783,25269,2636,4055
Detenciones,2021,5379,9359,16074,5459,11279,33656,97075,23427,14181,6951,29597,15422,6696,20254,1978,2225
Detenciones,2022,4528,8362,12327,4864,8921,25880,68363,14999,11864,5375,19253,11863,5385,13535,1851,2115
Detenciones,2023,4535,8125,13336,4807,9426,27145,68168,14838,11958,5964,20939,14843,5687,13841,1977,1997
